,,,,,,,,,,,,,,,,,,,,pdstrip_4q,,pdstrip_8q,,sharestrip_4q,,sharestrip_8q
1974.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1974.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1974.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1974.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1975.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1975.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1975.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1975.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1976.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1976.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1976.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1976.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1977.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1977.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1977.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1977.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1978.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1978.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1978.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1978.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1979.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1979.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1979.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1979.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1980.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1980.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1980.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1980.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1981.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1981.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1981.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1981.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1982.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1982.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1982.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1982.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1983.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1983.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1983.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1983.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1984.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1984.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1984.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1984.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1985.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1985.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1985.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1985.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1986.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1986.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1986.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1986.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1988.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1988.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1988.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1988.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1989.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1989.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1989.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1989.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1991.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1991.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1991.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1991.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1992.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1992.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1992.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1992.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1993.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1993.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1993.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1993.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1995.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1995.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1995.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1995.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1996.1,,,,,,,,,,,,,,,,,,,,4.1983,,8.3746,,0.02179,,0.04426
1996.2,,,,,,,,,,,,,,,,,,,,3.6958,,7.493,,0.02290,,0.04484
1996.3,,,,,,,,,,,,,,,,,,,,4.0098,,8.1455,,0.02453,,0.04877
1996.4,,,,,,,,,,,,,,,,,,,,4.2248,,9.4923,,0.02063,,0.04423
1997.1,,,,,,,,,,,,,,,,,,,,4.1876,,7.6854,,0.01959,,0.03723
1997.2,,,,,,,,,,,,,,,,,,,,3.9112,,7.6822,,0.01838,,0.03567
1997.3,,,,,,,,,,,,,,,,,,,,3.732,,7.4681,,0.01624,,0.03210
1997.4,,,,,,,,,,,,,,,,,,,,4.1828,,7.9556,,0.01711,,0.03330
1998.1,,,,,,,,,,,,,,,,,,,,4.1066,,8.236,,0.01527,,0.02961
1998.2,,,,,,,,,,,,,,,,,,,,4.0725,,8.1722,,0.01506,,0.02864
1998.3,,,,,,,,,,,,,,,,,,,,3.772,,7.1006,,0.01419,,0.02687
1998.4,,,,,,,,,,,,,,,,,,,,3.9762,,6.9734,,0.01326,,0.02633
1999.1,,,,,,,,,,,,,,,,,,,,4.1203,,7.7924,,0.01293,,0.02489
1999.2,,,,,,,,,,,,,,,,,,,,3.986,,7.1465,,0.01328,,0.02495
1999.3,,,,,,,,,,,,,,,,,,,,3.6335,,6.9807,,0.01262,,0.02425
1999.4,,,,,,,,,,,,,,,,,,,,4.3807,,8.1909,,0.01163,,0.02324
2000.1,,,,,,,,,,,,,,,,,,,,4.0465,,7.1398,,0.01146,,0.02171
2000.2,,,,,,,,,,,,,,,,,,,,3.4956,,5.6888,,0.01073,,0.01952
2000.3,,,,,,,,,,,,,,,,,,,,2.9176,,6.1146,,0.00886,,0.01779
2000.4,,,,,,,,,,,,,,,,,,,,2.3637,,4.8156,,0.00721,,0.01448
2001.1,,,,,,,,,,,,,,,,,,,,3.0329,,5.5748,,0.00736,,0.01435
2001.2,,,,,,,,,,,,,,,,,,,,3.7489,,7.5254,,0.01051,,0.02005
2001.3,,,,,,,,,,,,,,,,,,,,3.5832,,6.9856,,0.01210,,0.02388
2001.4,,,,,,,,,,,,,,,,,,,,3.6119,,6.8914,,0.01287,,0.02315
2002.1,,,,,,,,,,,,,,,,,,,,4.3025,,7.9443,,0.01406,,0.02597
2002.2,,,,,,,,,,,,,,,,,,,,3.6101,,6.7764,,0.01493,,0.02795
2002.3,,,,,,,,,,,,,,,,,,,,3.8141,,7.1433,,0.01689,,0.03199
2002.4,,,,,,,,,,,,,,,,,,,,3.6618,,7.0432,,0.01758,,0.03304
2003.1,,,,,,,,,,,,,,,,,,,,4.1993,,8.187,,0.01933,,0.03801
2003.2,,,,,,,,,,,,,,,,,,,,3.9656,,7.8707,,0.01725,,0.03406
2003.3,,,,,,,,,,,,,,,,,,,,4.3105,,8.7848,,0.01920,,0.03897
2003.4,,,,,,,,,,,,,,,,,,,,3.6874,,7.2887,,0.01756,,0.03505
2004.1,,,,,,,,,,,,,,,,,,,,4.2304,,7.9825,,0.01690,,0.03250
2004.2,,,,,,,,,,,,,,,,,,,,4.2306,,7.9893,,0.01827,,0.03495
2004.3,,,,,,,,,,,,,,,,,,,,4.2896,,8.5075,,0.01897,,0.03727
2004.4,,,,,,,,,,,,,,,,,,,,3.9447,,7.7462,,0.01810,,0.03612
2005.1,,,,,,,,,,,,,,,,,,,,4.352,,8.3365,,0.01916,,0.03774
2005.2,,,,,,,,,,,,,,,,,,,,4.3958,,8.7165,,0.01984,,0.03909
2005.3,,,,,,,,,,,,,,,,,,,,4.5823,,9.0286,,0.01982,,0.03880
2005.4,,,,,,,,,,,,,,,,,,,,4.0281,,8.1652,,0.02013,,0.04008
2006.1,,,,,,,,,,,,,,,,,,,,4.5013,,8.8532,,0.01996,,0.04026
2006.2,,,,,,,,,,,,,,,,,,,,4.4385,,8.6479,,0.02080,,0.04109
2006.3,,,,,,,,,,,,,,,,,,,,4.2286,,8.4367,,0.01986,,0.03924
2006.4,,,,,,,,,,,,,,,,,,,,3.9078,,7.832,,0.01906,,0.03784
2007.1,,,,,,,,,,,,,,,,,,,,4.2946,,8.5265,,0.01950,,0.03880
2007.2,,,,,,,,,,,,,,,,,,,,4.3356,,8.5385,,0.01898,,0.03777
2007.3,,,,,,,,,,,,,,,,,,,,4.2212,,8.3827,,0.01927,,0.03846
2007.4,,,,,,,,,,,,,,,,,,,,3.611,,7.3879,,0.01924,,0.03848
2008.1,,,,,,,,,,,,,,,,,,,,4.0444,,7.6815,,0.02066,,0.03962
2008.2,,,,,,,,,,,,,,,,,,,,4.0464,,7.7609,,0.02188,,0.04085
2008.3,,,,,,,,,,,,,,,,,,,,3.5177,,7.3718,,0.02192,,0.04365
2008.4,,,,,,,,,,,,,,,,,,,,2.8367,,5.5103,,0.02320,,0.04443
2009.1,,,,,,,,,,,,,,,,,,,,3.8023,,6.5833,,0.02670,,0.04727
2009.2,,,,,,,,,,,,,,,,,,,,4.2079,,8.0513,,0.02578,,0.04790
2009.3,,,,,,,,,,,,,,,,,,,,4.1348,,8.2679,,0.02237,,0.04451
2009.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2010.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2010.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2010.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2010.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2011.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2011.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2011.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2011.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2012.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2012.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2012.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2012.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2013.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2013.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2013.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2013.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2014.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2014.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2014.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2014.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2016.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2016.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2016.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2016.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2017.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2017.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2017.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2017.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2018.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2018.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2018.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2018.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.1,,,,,,,,,,,,,,,,,,,,,,,,,,
